Rank,Baby Boy Names,,Year,Counts
1,Noah,,2022,58
2,Liam,,2022,52
3,Leo,,2022,47
4,Jack,,2022,44
5,Lucas,,2022,44
6,Benjamin,,2022,43
7,Theodore,,2022,43
8,James,,2022,42
9,Levi,,2022,40
10,Lincoln,,2022,40
11,Oliver,,2022,40
12,Walker,,2022,39
13,William,,2022,36
14,Maverick,,2022,33
15,Asher,,2022,32
16,Beau,,2022,32
17,Hudson,,2022,32
18,Luke,,2022,31
19,Alexander,,2022,30
20,Elijah,,2022,30
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2022,60
2,Amelia,,2022,44
3,Emma,,2022,43
4,Ava,,2022,41
5,Lily,,2022,39
6,Sophia,,2022,37
7,Isla,,2022,35
8,Charlotte,,2022,33
9,Willow,,2022,32
10,Abigail,,2022,31
11,Nora,,2022,31
12,Aurora,,2022,28
13,Chloe,,2022,28
14,Ivy,,2022,28
15,Mia,,2022,28
16,Ellie,,2022,27
17,Scarlett,,2022,27
18,Ella,,2022,26
19,Emily,,2022,26
20,Hazel,,2022,26
Rank,Baby Boy Names,,Year,Counts
1,Noah,,2021,65
2,Liam,,2021,61
3,Theodore,,2021,59
4,Oliver,,2021,58
5,William,,2021,53
6,Hudson,,2021,50
7,Levi,,2021,50
8,Lincoln,,2021,50
9,Grayson,,2021,41
10,Jackson,,2021,41
11,Henry,,2021,40
12,Benjamin,,2021,39
13,Brooks,,2021,39
14,Maverick,,2021,39
15,Lucas,,2021,38
16,Jack,,2021,37
17,Bennett,,2021,36
18,Emmett,,2021,36
19,Leo,,2021,36
20,Rhett,,2021,35
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2021,57
2,Sophia,,2021,47
3,Emma,,2021,43
4,Willow,,2021,41
5,Ava,,2021,39
6,Isla,,2021,34
7,Abigail,,2021,32
8,Amelia,,2021,31
9,Charlotte,,2021,31
10,Ellie,,2021,31
11,Harper,,2021,31
12,Hazel,,2021,31
13,Lily,,2021,31
14,Scarlett,,2021,31
15,Aria,,2021,30
16,Ella,,2021,30
17,Emily,,2021,29
18,Aurora,,2021,28
19,Avery,,2021,27
20,Nova,,2021,27
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2020,74
2,Jack,,2020,53
3,Oliver,,2020,49
4,Hudson,,2020,48
5,Noah,,2020,47
6,William,,2020,47
7,Lucas,,2020,44
8,Benjamin,,2020,43
9,Theodore,,2020,43
10,Bennett,,2020,41
11,Henry,,2020,41
12,Lincoln,,2020,41
13,Luke,,2020,41
14,Maverick,,2020,39
15,Owen,,2020,39
16,James,,2020,38
17,Levi,,2020,38
18,Asher,,2020,37
19,Wyatt,,2020,36
20,Brooks,,2020,35
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2020,79
2,Amelia,,2020,55
3,Emma,,2020,50
4,Emily,,2020,43
5,Sophia,,2020,41
6,Ava,,2020,37
7,Harper,,2020,37
8,Addison,,2020,35
9,Ellie,,2020,35
10,Scarlett,,2020,35
11,Charlotte,,2020,32
12,Isla,,2020,32
13,Hazel,,2020,30
14,Abigail,,2020,29
15,Aurora,,2020,29
16,Ivy,,2020,28
17,Elizabeth,,2020,27
18,Evelyn,,2020,27
19,Nora,,2020,25
20,Madison,,2020,24
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2019,91
2,Noah,,2019,61
3,William,,2019,61
4,Jack,,2019,56
5,Benjamin,,2019,48
6,Emmett,,2019,47
7,Owen,,2019,46
8,Lucas,,2019,45
9,Theodore,,2019,45
10,Logan,,2019,42
11,Asher,,2019,41
12,Ethan,,2019,41
13,Wyatt,,2019,41
14,Jacob,,2019,40
15,Oliver,,2019,39
16,Thomas,,2019,37
17,James,,2019,36
18,Alexander,,2019,34
19,Jackson,,2019,33
20,Maverick,,2019,33
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2019,62
2,Amelia,,2019,55
3,Sophia,,2019,50
4,Harper,,2019,47
5,Ava,,2019,45
6,Emma,,2019,44
7,Ella,,2019,38
8,Ellie,,2019,36
9,Emily,,2019,36
10,Aria,,2019,35
11,Brielle,,2019,35
12,Charlotte,,2019,35
13,Scarlett,,2019,34
14,Violet,,2019,34
15,Everly,,2019,33
16,Nora,,2019,32
17,Hannah,,2019,31
18,Chloe,,2019,30
19,Hazel,,2019,30
20,Sadie,,2019,30
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2018,85
2,Oliver,,2018,61
3,Benjamin,,2018,59
4,Noah,,2018,58
5,Jacob,,2018,55
6,Lincoln,,2018,54
7,Jack,,2018,50
8,Logan,,2018,50
9,James,,2018,48
10,Hudson,,2018,47
11,Levi,,2018,46
12,William,,2018,45
13,Lucas,,2018,44
14,Ethan,,2018,43
15,Ryker,,2018,43
16,Mason,,2018,42
17,Grayson,,2018,41
18,Elijah,,2018,40
19,Alexander,,2018,39
20,Emmett,,2018,39
Rank,Baby Girl Names,,2018,Counts
1,Olivia,,2018,70
2,Emma,,2018,62
3,Harper,,2018,55
4,Sophia,,2018,49
5,Ava,,2018,48
6,Ella,,2018,45
7,Charlotte,,2018,44
8,Emily,,2018,41
9,Lily,,2018,40
10,Scarlett,,2018,40
11,Hannah,,2018,38
12,Abigail,,2018,37
13,Ellie,,2018,36
14,Elizabeth,,2018,35
15,Avery,,2018,34
16,Grace,,2018,34
17,Paisley,,2018,34
18,Hazel,,2018,32
19,Amelia,,2018,30
20,Ivy,,2018,29
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2017,73
2,William,,2017,59
3,Jacob,,2017,57
4,Oliver,,2017,57
5,Lincoln,,2017,54
6,Owen,,2017,54
7,Noah,,2017,53
8,Benjamin,,2017,52
9,James,,2017,47
10,Jack,,2017,46
11,Lucas,,2017,46
12,Alexander,,2017,45
13,Gabriel,,2017,45
14,Leo,,2017,44
15,Logan,,2017,44
16,Ethan,,2017,43
17,Daniel,,2017,42
18,Asher,,2017,41
19,Hunter,,2017,41
20,Levi,,2017,41
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2017,81
2,Ava,,2017,65
3,Emma,,2017,58
4,Emily,,2017,51
5,Sophia,,2017,44
6,Harper,,2017,43
7,Amelia,,2017,42
8,Hannah,,2017,37
9,Aria,,2017,36
10,Lily,,2017,36
11,Brielle,,2017,35
12,Ella,,2017,35
13,Madison,,2017,35
14,Quinn,,2017,35
15,Abigail,,2017,34
16,Addison,,2017,34
17,Chloe,,2017,34
18,Elizabeth,,2017,34
19,Grace,,2017,34
20,Hazel,,2017,34
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2016,73
2,William,,2016,65
3,Oliver,,2016,60
4,Benjamin,,2016,57
5,Noah,,2016,57
6,Lucas,,2016,55
7,Ethan,,2016,54
8,Carter,,2016,51
9,Jack,,2016,50
10,Logan,,2016,49
11,Hunter,,2016,48
12,Alexander,,2016,47
13,Owen,,2016,44
14,Jackson,,2016,43
15,Jacob,,2016,43
16,Lincoln,,2016,43
17,Mason,,2016,41
18,Luke,,2016,40
19,Wyatt,,2016,40
20,Hudson,,2016,39
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2016,79
2,Emma,,2016,78
3,Ava,,2016,64
4,Emily,,2016,58
5,Sophia,,2016,52
6,Amelia,,2016,51
7,Chloe,,2016,43
8,Ella,,2016,42
9,Paisley,,2016,41
10,Scarlett,,2016,41
11,Brielle,,2016,39
12,Claire,,2016,38
13,Charlotte,,2016,37
14,Abigail,,2016,36
15,Sadie,,2016,36
16,Lily,,2016,35
17,Hannah,,2016,34
18,Harper,,2016,33
19,Addison,,2016,32
20,Elizabeth,,2016,32
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2015,69
2,Noah,,2015,65
3,Benjamin,,2015,64
4,Lincoln,,2015,57
5,Lucas,,2015,57
6,William,,2015,57
7,Wyatt,,2015,54
8,Hudson,,2015,53
9,Hunter,,2015,52
10,Jack,,2015,51
11,Jacob,,2015,50
12,Carter,,2015,48
13,Owen,,2015,48
14,Samuel,,2015,48
15,Alexander,,2015,46
16,Ethan,,2015,46
17,Logan,,2015,46
18,Grayson,,2015,44
19,Jackson,,2015,44
20,Asher,,2015,42
Rank,Baby Girl Names,,Year,Counts
1,Olivia,,2015,80
2,Emily,,2015,63
3,Emma,,2015,62
4,Ava,,2015,56
5,Avery,,2015,53
6,Sophia,,2015,53
7,Zoey,,2015,45
8,Brooklyn,,2015,44
9,Aria,,2015,43
10,Mia,,2015,41
11,Hannah,,2015,40
12,Lily,,2015,40
13,Claire,,2015,39
14,Chloe,,2015,38
15,Sophie,,2015,38
16,Addison,,2015,37
17,Charlotte,,2015,37
18,Ella,,2015,36
19,Isabella,,2015,36
20,Scarlett,,2015,34
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2014,85
2,William,,2014,67
3,Noah,,2014,66
4,Jacob,,2014,62
5,Mason,,2014,60
6,Hudson,,2014,57
7,Logan,,2014,57
8,Alexander,,2014,56
9,Carter,,2014,56
10,Jaxon,,2014,56
11,Jack,,2014,55
12,Lucas,,2014,55
13,Hunter,,2014,52
14,Oliver,,2014,52
15,Lincoln,,2014,51
16,Luke,,2014,50
17,Owen,,2014,48
18,Samuel,,2014,48
19,Ethan,,2014,47
20,Benjamin,,2014,45
Rank,Baby Girl Names,,Year,Counts
1,Emma,,2014,79
2,Olivia,,2014,76
3,Sophia,,2014,69
4,Emily,,2014,67
5,Ava,,2014,54
6,Brooklyn,,2014,52
7,Avery,,2014,48
8,Sadie,,2014,47
9,Lily,,2014,45
10,Ella,,2014,43
11,Chloe,,2014,40
12,Abigail,,2014,36
13,Harper,,2014,36
14,Isabella,,2014,36
15,Zoey,,2014,36
16,Claire,,2014,35
17,Hannah,,2014,35
18,Aria,,2014,34
19,Sarah,,2014,34
20,Aubrey,,2014,32
Rank,Baby Boy Names,,Year,Counts
1,Liam,,2013,92
2,Carter,,2013,68
3,Noah,,2013,66
4,Lucas,,2013,64
5,Ethan,,2013,60
6,Jacob,,2013,56
7,Mason,,2013,54
8,William,,2013,54
9,Owen,,2013,53
10,Jace,,2013,50
11,Alexander,,2013,49
12,Jaxon,,2013,49
13,Bentley,,2013,47
14,Benjamin,,2013,45
15,Jase,,2013,45
16,Logan,,2013,44
17,Hudson,,2013,43
18,Hunter,,2013,42
19,Ryder,,2013,42
20,Samuel,,2013,40
Rank,Baby Girl Names,,Year,Counts
1,Emma,,2013,81
2,Sophia,,2013,72
3,Emily,,2013,64
4,Olivia,,2013,64
5,Lily,,2013,54
6,Ava,,2013,52
7,Brooklyn,,2013,44
8,Zoey,,2013,43
9,Brielle,,2013,40
10,Avery,,2013,38
11,Grace,,2013,38
12,Hannah,,2013,38
13,Hailey,,2013,37
14,Isabella,,2013,37
15,Mia,,2013,37
16,Aubrey,,2013,34
17,Abigail,,2013,33
18,Ella,,2013,33
19,Sadie,,2013,33
20,Chloe,,2013,32
